"TMEM50A,10.75019734,"
"SDHD,9.759634661,"
"TMEM57,7.421642118,"
"LDLRAP1,7.732023378,"
"MAN1C1,8.566659835,"
"SEPN1,9.454612571,"
"FAM54B,8.65014339,"
"EXTL1,6.400281903,"
"PDIK1L,6.210418881,"
"GRRP1,8.0213711,"
"ZNF593,7.720411216,"
"CNKSR1,6.250839694,"
"CATSPER4,5.319074771,"
"CCDC21,6.052736415,"
"SH3BGRL3,9.009050303,"
"CD52,8.376165242,"
"LIN28A,5.877482845,"
"DHDDS,9.398352297,"
"HMGN2,10.39538201,"
"RPS6KA1,7.587757721,"
"ARID1A,8.822272241,"
"PIGV,7.77011461,"
"ZDHHC18,8.701507315,"
"SFN,7.308375773,"
"NUDC,7.783018004,"
"TRNP1,8.101712177,"
"WDTC1,7.788340068,"
"TMEM222,8.038158344,"
"SYTL1,6.683342395,"
"GPR3,7.24133146,"
"CCDC72,9.544876694,"
"FAM76A,7.624189487,"
"STX12,8.643554038,"
"PPP1R8,7.840588101,"
"SCARNA1,7.463239379,"
"C1orf38,8.899910912,"
"SMPDL3B,6.336794848,"
"XKR8,7.272172848,"
"ATPIF1,7.37043085,"
"SESN2,7.568527655,"
"MED18,5.89068444,"
"PHACTR4,9.084524203,"
"RCC1,6.694089427,"
"SNORA73A,11.95122584,"
"TRNAU1AP,7.650315808,"
"RAB42,5.623728531,"
"RNU11,8.838325252,"
"GMEB1,6.5528566,"
"YTHDF2,7.651049192,"
"OPRD1,7.334943307,"
"EPB41,7.364762153,"
"PTPRU,7.582723555,"
"MATN1,6.558231301,"
"PRO0611,5.146043889,"
"ZCCHC17,6.901685333,"
"SERINC2,7.814202563,"
"TINAGL1,9.043661444,"
"HCRTR1,6.660469518,"
"KHDRBS1,7.769245469,"
"TMEM39B,7.606045111,"
"KPNA6,8.546313901,"
"TXLNA,8.04020243,"
"CCDC28B,6.549411996,"
"IQCC,6.694930918,"
"EIF3I,9.090970248,"
"FAM167B,6.960641378,"
"LCK,7.072202646,"
"HDAC1,7.969304122,"
"TSSK3,5.436684555,"
"ZBTB8B,7.078969738,"
"RBBP4,9.612953339,"
"KIAA1522,6.970078531,"
"S100PBP,7.773255183,"
"HPCA,6.82418687,"
"ADC,6.36355412,"
"ZNF362,9.172392583,"
"ZSCAN20,6.112645282,"
"HMGB4,5.136575235,"
"C1orf94,5.642318925,"
"GJB5,5.46502948,"
"GJB4,5.897523622,"
"GJB3,5.868891623,"
"GJA4,8.710233853,"
"ZMYM1,6.789784896,"
"ZMYM4,9.167988723,"
"NCDN,8.194576617,"
"TFAP2E,8.218572946,"
"EIF2C4,8.003996518,"
"EIF2C1,8.733905175,"
"EIF2C3,8.242786143,"
"TEKT2,5.987035397,"
"ADPRHL2,7.138574189,"
"MAP7D1,8.660513156,"
"THRAP3,8.528906165,"
"C1orf113,8.610311322,"
"ZC3H12A,7.440794899,"
"RPS27,11.82542,"
"DNALI1,7.7009297,"
"CDCA8,5.898067346,"
"MANEAL,6.40335098,"
"C1orf122,8.238175846,"
"UTP11L,7.046163414,"
"AKIRIN1,8.665970909,"
"NDUFS5,10.59257218,"
"MACF1,9.092136712,"
"BMP8A,6.341250041,"
"OXCT2,6.705815893,"
"PPIE,7.19506948,"
"MFSD2A,6.279563987,"
"CAP1,10.3068815,"
"RLF,8.063642694,"
"TMCO2,4.707765543,"
"ZMPSTE24,8.670431802,"
"SMAP2,9.144397163,"
"ZNF643,5.759288548,"
"ZNF642,5.670664277,"
"DEM1,6.840827532,"
"ZNF684,5.299382841,"
"NFYC,8.572329951,"
"MIR30E,5.725971896,"
"MIR30C1,5.000602075,"
"KCNQ4,6.574228634,"
"CTPS,6.493585611,"
"GUCA2B,7.527697468,"
"RIMKLA,6.702114439,"
"PPCS,7.877199562,"
"CCDC30,5.478200819,"
"PPIH,7.2293902,"
"YBX1,11.46284815,"
"C1orf50,7.145039491,"
"ERMAP,7.210306139,"
"ZNF691,6.190296425,"
"FAM183A,5.244658937,"
"WDR65,4.847387512,"
"TMEM125,7.131864989,"
"TIE1,8.113865111,"
"MPL,5.878730336,"
"CDC20,7.071731469,"
"KIAA0467,7.967319385,"
"PTPRF,9.431120516,"
"KDM4A,8.0034023,"
"ST3GAL3,7.595352477,"
"ARTN,6.450115431,"
"IPO13,7.514119726,"
"DPH2,6.790775763,"
"ATP6V0B,8.366216968,"
"B4GALT2,9.271522158,"
"CCDC24,6.888858823,"
"KLF17,6.100210385,"
"DMAP1,7.383269008,"
"RNF220,7.981001435,"
"C1orf228,6.264238243,"
"KIF2C,5.057181071,"
"RPS8,10.55505208,"
"SNORD55,8.136514026,"
"SNORD46,10.88164171,"
"SNORD38A,5.800830693,"
"SNORD38B,4.571892803,"
"PLK3,7.656376,"
"UROD,9.109781596,"
"HPDL,6.201319648,"
"TOE1,7.30592843,"
"MMACHC,7.023186695,"
"AKR1A1,8.473151715,"
"NASP,7.395934472,"
"TMEM69,8.566958404,"
"MAST2,8.424303475,"
"TSPAN1,6.075794684,"
"C1orf190,6.582437507,"
"RAD54L,5.775924432,"
"UQCRH,7.804579019,"
"NSUN4,7.489411474,"
"FAAH,6.665036999,"
"DMBX1,6.950003715,"
"C1orf223,4.689599513,"
"CYP4B1,8.335598551,"
"CYP4X1,7.884630588,"
"CYP4Z1,6.24319711,"
"CYP4A22,5.793920739,"
"CMPK1,9.305054838,"
"FOXE3,8.503250481,"
"FOXD2,6.133517476,"
"SLC5A9,5.2932422,"
"STRADB,9.128998021,"
"ELAVL4,4.735104521,"
"CDKN2C,6.215676894,"
